"2013-01-01","3.65510676592487","257.31"
"2013-04-01","4.472496277039407","261.61"
"2013-07-01","4.328535581393541","282.1"
"2013-10-01","4.429841256796039","320.95"
"2014-01-01","4.4604450614875635","397.97"
"2014-04-01","4.304775983885575","342.99"
"2014-07-01","3.8824001236629053","332.39"
"2014-10-01","3.430902692270741","317.46"
"2015-01-01","2.6552082430585795","308.52"
"2015-04-01","3.2288048194531322","370.255"
"2015-07-01","3.629211264936706","437.39"
"2015-10-01","3.920040333317904","520.72"
"2016-01-01","4.459845204267176","636.99"
"2016-04-01","4.348965259115009","598.5"
"2016-07-01","4.937103248097235","725.68"
"2016-10-01","5.193934949523271","836.74"
"2017-01-01","4.081830160885652","753.67"
"2017-04-01","5.019636682669528","891.51"
"2017-07-01","4.997540403763764","953.66"
"2017-10-01","3.6363103944298443","959.19"
